name,image_url,stat_value
Kaoru Mitoma,https://img.a.transfermarkt.technology/portrait/header/504849-1731683095.jpg?lm=1,45000000
Bremer,https://img.a.transfermarkt.technology/portrait/header/516716-1725531520.jpg?lm=1,50000000
Matheus Cunha,https://img.a.transfermarkt.technology/portrait/header/517894-1696599737.jpg?lm=1,55000000
Bruno Guimarães,https://img.a.transfermarkt.technology/portrait/header/520624-1668522672.jpg?lm=1,80000000
Dani Vivian,https://img.a.transfermarkt.technology/portrait/header/524000-1709674998.png?lm=1,40000000
Maximilian Kilman,https://img.a.transfermarkt.technology/portrait/header/525247-1688370291.jpg?lm=1,30000000
Mason Greenwood,https://img.a.transfermarkt.technology/portrait/header/532826-1693987766.jpg?lm=1,35000000
Jonathan David,https://img.a.transfermarkt.technology/portrait/header/533738-1666690584.jpg?lm=1,45000000
Alexis Mac Allister,https://img.a.transfermarkt.technology/portrait/header/534033-1669835342.jpg?lm=1,90000000
Amad Diallo,https://img.a.transfermarkt.technology/portrait/header/536835-1694616776.jpg?lm=1,40000000
Mykhaylo Mudryk,https://img.a.transfermarkt.technology/portrait/header/537860-1732822624.jpg?lm=1,30000000
Georginio Rutter,https://img.a.transfermarkt.technology/portrait/header/538977-1727785742.jpg?lm=1,32000000
Cheick Doucouré,https://img.a.transfermarkt.technology/portrait/header/543387-1693826399.jpg?lm=1,30000000
Mohammed Kudus,https://img.a.transfermarkt.technology/portrait/header/543499-1668429218.jpg?lm=1,50000000
Darwin Núñez,https://img.a.transfermarkt.technology/portrait/header/546543-1681827179.jpg?lm=1,50000000
Álex Baena,https://img.a.transfermarkt.technology/portrait/header/548111-1714487266.jpg?lm=1,50000000
Gonçalo Inácio,https://img.a.transfermarkt.technology/portrait/header/549006-1716296254.jpg?lm=1,45000000
Gonçalo Ramos,https://img.a.transfermarkt.technology/portrait/header/550550-1681906158.jpg?lm=1,45000000
Santiago Gimenez,https://img.a.transfermarkt.technology/portrait/header/552955-1739903736.jpg?lm=1,37000000
Pedro Porro,https://img.a.transfermarkt.technology/portrait/header/553875-1730812390.jpg?lm=1,45000000
Mateo Retegui,https://img.a.transfermarkt.technology/portrait/header/554903-1681311414.jpg?lm=1,45000000
Destiny Udogie,https://img.a.transfermarkt.technology/portrait/header/556385-1697208468.jpg?lm=1,45000000
Kang-in Lee,https://img.a.transfermarkt.technology/portrait/header/557149-1703978046.jpg?lm=1,30000000
